Year,Deaths,Cars,Fuel
1955,902,755,1531
1956,889,855,1657
1957,946,987,1738
1958,941,1098,1893
1959,1000,1216,2011
1960,1036,1324,2127
1961,1083,1439,2318
1962,1123,1562,2394
1963,1217,1697,2609
1964,1308,1810,2857
1965,1313,1934,3043
1966,1313,2033,3165
1967,1077,2126,3292
1968,1262,2223,3451
1969,1275,2350,3635
1970,1307,2446,3781
1971,1213,2513,3870
1972,1194,2618,4025
1973,1177,2667,4251
1974,1197,2809,3921
1975,1172,2931,4383
1976,1168,3060,4624
1977,1031,3039,4811
1978,1034,3042,4945
1979,928,3059,4913
1980,848,3077,4751
1981,784,3093,4679
1982,758,3143,4712
1983,779,3222,4834
1984,801,3305,5028
1985,808,3383,5067
1986,844,3497,5328
1987,787,3626,5534
1988,813,3764,5739
1989,904,3887,5910
1990,772,3925,5630
1991,745,3945,5751
1992,759,3906,5879
1993,632,3882,5590
1994,589,3912,5655
1995,572,3953,5761
1996,537,3981,5683
1997,541,4053,5577
1998,531,4145,5427
1999,580,4259,5464
2000,591,4388,5361
2001,583,4428,5422
2002,560,4468,5515
2003,529,4511,5547
2004,480,4570,5546
2005,440,4633,5506
2006,445,4701,5363
2007,471,4782,5253
2008,397,4809,4930
2009,358,4837,4845
2010,266,4884,4550
